product_idea,category,skill_level,available_materials,available_tools,budget_zar,estimated_cost_zar,build_feasible,build_time,revisions_needed
Screwdriver Organiser,tools,Beginner,"plastic bottles, tape","scissors, ruler, glue gun",21,12,YES,1-2 hours,1
Phone Stand,display,Beginner,"cardboard, glue, scissors","knife, cutting mat",25,13,YES,2-3 hours,0
Wire Storage Rack,organisation,Advanced,"steel rods, screws, drill bits","CNC router, clamps",342,247,YES,6-10 hours,1
Cable Organiser,organisation,Beginner,"cardboard, glue, scissors","stapler, tape measure",68,35,YES,2-3 hours,1
Phone Cradle,display,Beginner,"old packaging, glue","scissors, ruler, glue gun",66,35,YES,2-3 hours,1
Earphone Holder,organisation,Beginner,"cardboard, rubber bands","scissors, ruler, glue gun",65,32,YES,1-2 hours,0
Soldering Station Holder,tools,Intermediate,"recycled plastic, bolts","hammer, nails, sandpaper",138,90,YES,2-4 hours,1
Parts Storage Box,organisation,Advanced,"steel rods, screws, drill bits","oscilloscope, soldering station",236,163,YES,6-10 hours,1
Phone Amplifier,audio,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",485,307,YES,4-8 hours,1
Soldering Station Holder,tools,Intermediate,"recycled plastic, bolts","soldering iron, wire cutters",88,52,NO,4-6 hours,2
Soldering Station Holder,tools,Advanced,"PCB board, solder, wires","CNC router, clamps",434,270,YES,1-2 days,1
Protective Phone Case,protection,Beginner,"cardboard, glue, scissors","scissors, ruler, glue gun",28,15,YES,1-2 hours,0
Phone Cradle,display,Advanced,"wood, metal brackets, bolts","lathe, drill press",416,287,YES,1-2 days,0
Screwdriver Organiser,tools,Advanced,"PCB board, solder, wires","lathe, drill press",258,181,YES,4-8 hours,1
Soldering Station Holder,tools,Beginner,"cardboard, rubber bands","knife, cutting mat",49,24,YES,1-2 hours,1
USB Hub Stand,charging,Advanced,"steel rods, screws, drill bits","welding machine, angle grinder",459,317,YES,1-2 days,1
Wire Storage Rack,organisation,Beginner,"cardboard, rubber bands","knife, cutting mat",27,16,YES,1-2 hours,0
Anti-slip Phone Mat,protection,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",240,147,YES,4-8 hours,1
Phone Charging Station,charging,Beginner,"plastic bottles, tape","knife, cutting mat",36,20,YES,2-3 hours,1
Screwdriver Organiser,tools,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",391,260,YES,4-8 hours,0
Protective Phone Case,protection,Beginner,"cardboard, glue, scissors","scissors, ruler, glue gun",57,31,YES,1-2 hours,0
Charging Dock,charging,Beginner,"cardboard, rubber bands","marker, scissors",75,39,YES,1-2 hours,0
Parts Storage Box,organisation,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",495,332,NO,4-8 hours,1
Screwdriver Organiser,tools,Intermediate,"PVC pipe, screws, glue","drill, saw, measuring tape",125,77,YES,2-4 hours,1
Parts Storage Box,organisation,Intermediate,"wood offcuts, nails, sandpaper","jigsaw, clamps",182,124,YES,2-4 hours,1
Cable Organiser,organisation,Intermediate,"aluminium sheet, rivets","drill, saw, measuring tape",139,83,NO,2-4 hours,3
Phone Charging Station,charging,Beginner,"plastic bottles, tape","marker, scissors",25,15,YES,2-3 hours,1
Repair Bench Organiser,organisation,Intermediate,"aluminium sheet, rivets","hammer, nails, sandpaper",195,111,YES,3-5 hours,1
Soldering Station Holder,tools,Advanced,"steel rods, screws, drill bits","lathe, drill press",484,338,YES,4-8 hours,0
Earphone Holder,organisation,Advanced,"aluminium sheet, welding rods","CNC router, clamps",477,291,YES,1-2 days,0
Phone Stand,display,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",241,175,YES,6-10 hours,0
Anti-slip Phone Mat,protection,Advanced,"aluminium sheet, welding rods","CNC router, clamps",326,224,YES,1-2 days,1
Anti-slip Phone Mat,protection,Intermediate,"recycled plastic, bolts","jigsaw, clamps",106,69,YES,2-4 hours,1
Wire Storage Rack,organisation,Intermediate,"aluminium sheet, rivets","drill, saw, measuring tape",198,132,YES,2-4 hours,0
Phone Charging Station,charging,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",96,66,NO,3-5 hours,1
Wire Storage Rack,organisation,Advanced,"aluminium sheet, welding rods","lathe, drill press",354,245,NO,1-2 days,1
Anti-slip Phone Mat,protection,Beginner,"plastic bottles, tape","stapler, tape measure",36,18,YES,2-3 hours,0
Parts Storage Box,organisation,Intermediate,"aluminium sheet, rivets","hammer, nails, sandpaper",106,70,NO,2-4 hours,1
Screwdriver Organiser,tools,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",186,111,YES,2-4 hours,1
Phone Charging Station,charging,Advanced,"steel rods, screws, drill bits","welding machine, angle grinder",418,286,YES,6-10 hours,0
Soldering Station Holder,tools,Beginner,"cardboard, glue, scissors","stapler, tape measure",22,11,YES,1-2 hours,0
Screwdriver Organiser,tools,Beginner,"old packaging, glue","knife, cutting mat",42,24,YES,1-2 hours,0
Phone Cradle,display,Beginner,"cardboard, rubber bands","marker, scissors",76,40,YES,1-2 hours,1
Cable Organiser,organisation,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",255,168,YES,4-8 hours,1
Protective Phone Case,protection,Intermediate,"PVC pipe, screws, glue","soldering iron, wire cutters",185,124,YES,3-5 hours,1
Phone Amplifier,audio,Beginner,"old packaging, glue","stapler, tape measure",69,35,YES,1-2 hours,0
Anti-slip Phone Mat,protection,Intermediate,"PVC pipe, screws, glue","drill, saw, measuring tape",102,65,NO,4-6 hours,2
Protective Phone Case,protection,Advanced,"aluminium sheet, welding rods","CNC router, clamps",360,240,NO,1-2 days,1
Phone Amplifier,audio,Beginner,"plastic bottles, tape","stapler, tape measure",65,35,YES,2-3 hours,0
Screwdriver Organiser,tools,Intermediate,"recycled plastic, bolts","hammer, nails, sandpaper",159,96,YES,4-6 hours,1
Protective Phone Case,protection,Intermediate,"aluminium sheet, rivets","jigsaw, clamps",169,102,YES,4-6 hours,0
Earphone Holder,organisation,Advanced,"PCB board, solder, wires","lathe, drill press",354,234,NO,4-8 hours,2
Phone Cradle,display,Advanced,"steel rods, screws, drill bits","CNC router, clamps",364,244,YES,1-2 days,0
Screwdriver Organiser,tools,Beginner,"cardboard, rubber bands","scissors, ruler, glue gun",38,21,YES,1-2 hours,1
Repair Bench Organiser,organisation,Beginner,"old packaging, glue","scissors, ruler, glue gun",29,14,YES,2-3 hours,1
Anti-slip Phone Mat,protection,Advanced,"wood, metal brackets, bolts","CNC router, clamps",494,311,YES,4-8 hours,0
Screwdriver Organiser,tools,Advanced,"aluminium sheet, welding rods","CNC router, clamps",202,148,NO,4-8 hours,1
Phone Cradle,display,Advanced,"aluminium sheet, welding rods","CNC router, clamps",465,311,YES,4-8 hours,1
Screwdriver Organiser,tools,Advanced,"wood, metal brackets, bolts","CNC router, clamps",486,335,NO,1-2 days,2
Anti-slip Phone Mat,protection,Beginner,"plastic bottles, tape","stapler, tape measure",67,39,YES,2-3 hours,0
Phone Amplifier,audio,Intermediate,"recycled plastic, bolts","hammer, nails, sandpaper",89,59,YES,4-6 hours,0
Cable Organiser,organisation,Beginner,"plastic bottles, tape","scissors, ruler, glue gun",34,18,YES,2-3 hours,1
Protective Phone Case,protection,Advanced,"wood, metal brackets, bolts","CNC router, clamps",438,290,YES,1-2 days,0
